Temperature [K],Intensity [W/cm²],S,FWHM [Hz],FWHM deph + FWHM0 [Hz],Fluorescence [cps]
4.16562857142857,2.288548731707507,2.002148962842047,1.5479980574148378e8,8.93417165720993e7,77863.83644580458
4.089000000000002,2.288548731707507,2.034346042641971,1.5827560029179534e8,9.086181668499056e7,79093.52511788618
3.9804999999999997,2.288548731707507,2.153754287997163,1.5095508121877137e8,8.500291303275909e7,83333.0114198611
4.2135,2.288548731707507,1.995608280597197,1.6479241506598446e8,9.52126619386006e7,77609.1819953634
4.130500000000002,2.288548731707507,2.006076547708639,1.6329492026732063e8,9.418302981320918e7,78015.95479157726
4.0135000000000005,2.288548731707507,2.087620594019838,1.4993991658990973e8,8.533069844980562e7,81044.91165147605
4.244,2.288548731707507,1.846568190661714,1.791588493575373e8,1.0618849571551578e8,71317.56379846878
4.151000000000001,2.288548731707507,2.0083215351739714,1.6237930792770985e8,9.361998339563979e7,78102.63762081428
4.0280000000000005,2.288548731707507,2.0168529638993724,1.6090673874614286e8,9.26397044152584e7,78430.29064989138
4.263000000000001,2.288548731707507,1.788848756547307,1.8164166389873478e8,1.0876846267685267e8,68599.35387023218
4.174999999999999,2.288548731707507,1.9672942377872102,1.6903896995913452e8,9.813106926307586e7,76487.27418770356
4.0535000000000005,2.288548731707507,2.030411541631491,1.5795135622189718e8,9.073452156240335e7,78945.34816402088
4.068999999999999,2.288548731707507,2.0542260914577968,1.5887105607422397e8,9.090634379431275e7,79833.54652026022
4.086000000000002,2.288548731707507,2.085892047834556,1.6324166645803726e8,9.29267299919979e7,80983.16157633263
4.0809999999999995,2.288548731707507,2.090470362670508,1.595680947837407e8,9.076820939749856e7,81146.49298754678
4.592999999999998,2.288548731707507,1.6097547206706215,2.1855169565349108e8,1.352864604857464e8,58924.426891401105
4.598,2.288548731707507,1.6332614488616124,2.1958270834625643e8,1.3531662174645275e8,60315.26528371938
4.606485714285715,2.288548731707507,1.6413652355881196,2.178267236039176e8,1.340284300214916e8,60785.51329134196
5.114782857142858,2.288548731707507,1.3939363374480715,3.134737469031924e8,2.0260253569617867e8,43962.56329220057
5.123142857142856,2.288548731707507,1.4067761225187891,2.960486092147112e8,1.908293530999589e8,44981.13059196454
