Date and Time:                Wed Apr 9 12:20:41.000 2025
Software Version:             4.32.30000.0
Temperature (C):              -60
Model:                        DU897_EXF
Data Type:                    Counts
Acquisition Mode:             Real Time
Trigger Mode:                 Internal
Exposure Time (secs):         0.1
Readout Mode:                 Image
Horizontal Binning:           2
Vertical Binning:             34
Clockwise rotation:           false
Anti-Clockwise rotation:      false
Extended Data Range:          off
Horizontally flipped:         true
Vertically flipped:           false
Vertical Shift Speed (usecs): 3.3
Pixel Readout Rate (MHz):     17
Baseline offset:              0
Number of prescans:           0
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM Gain level:                10
Serial Number:                8484
Pre-Amplifier Gain:           1.000000
Count Convert Mode:           Counts
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   Recursive Averaging Filter
Averaging Factor:             10
KY328i:
Serial Number:                
Wavelength (nm):              795
Grating Groove Density (l/mm):600.164
Grating Blaze:                750nm
Input Side Slit Width (um):   100



776.22314	483	
776.37085	488	
776.51849	482	
776.6662	482	
776.8139	481	
776.96155	480	
777.10919	480	
777.2569	481	
777.40454	484	
777.55219	481	
777.69983	481	
777.84741	480	
777.99506	479	
778.1427	476	
778.29028	477	
778.43787	475	
778.58551	479	
778.73309	480	
778.88068	478	
779.02826	476	
779.17584	474	
779.32336	480	
779.47095	482	
779.61847	477	
779.76605	479	
779.91357	480	
780.0611	476	
780.20862	477	
780.35614	480	
780.50366	481	
780.65118	475	
780.79865	483	
780.94617	477	
781.09363	475	
781.24109	478	
781.38861	480	
781.53607	482	
781.68353	476	
781.83093	478	
781.97839	478	
782.12585	478	
782.27325	484	
782.42072	480	
782.56812	480	
782.71552	481	
782.86292	482	
783.01031	484	
783.15771	486	
783.30511	481	
783.45245	486	
783.59985	490	
783.74719	495	
783.89459	489	
784.04193	491	
784.18927	494	
784.33661	497	
784.48395	579	
784.63123	1718	
784.77856	5749	
784.92584	2708	
785.07318	863	
785.22046	717	
785.36774	664	
785.51501	709	
785.66229	653	
785.80957	611	
785.95685	591	
786.10406	597	
786.25134	599	
786.39856	602	
786.54578	603	
786.69305	610	
786.84027	616	
786.98749	627	
787.13464	628	
787.28186	623	
787.42908	608	
787.57623	586	
787.72345	604	
787.87061	612	
788.01776	605	
788.16492	584	
788.31207	570	
788.45923	577	
788.60632	582	
788.75348	578	
788.90057	561	
789.04773	551	
789.19482	546	
789.34192	544	
789.48901	542	
789.63611	538	
789.7832	538	
789.93024	538	
790.07733	540	
790.22437	540	
790.37146	536	
790.51849	539	
790.66553	533	
790.81256	530	
790.95959	532	
791.10657	527	
791.2536	521	
791.40063	523	
791.54761	518	
791.69458	514	
791.84155	514	
791.98853	513	
792.1355	521	
792.28247	514	
792.42944	522	
792.57642	520	
792.72333	525	
792.87024	521	
793.01721	515	
793.16412	508	
793.31104	517	
793.45795	514	
793.6048	511	
793.75171	512	
793.89862	513	
794.04547	510	
794.19232	509	
794.33923	512	
794.48608	512	
794.63293	510	
794.77972	511	
794.92657	517	
795.07343	527	
795.22021	553	
795.36707	559	
795.51385	558	
795.66064	601	
795.80743	666	
795.95422	606	
796.10101	558	
796.2478	529	
796.39453	520	
796.54132	517	
796.68805	517	
796.83478	515	
796.98151	516	
797.12823	518	
797.27496	519	
797.42169	526	
797.56836	519	
797.71509	520	
797.86176	519	
798.00842	520	
798.15515	518	
798.30182	519	
798.44849	520	
798.59509	518	
798.74176	517	
798.88843	518	
799.03503	517	
799.18164	532	
799.32831	567	
799.47491	600	
799.62152	550	
799.76807	532	
799.91467	532	
800.06128	533	
800.20782	532	
800.35443	537	
800.50098	543	
800.64752	540	
800.79407	559	
800.94061	530	
801.08716	527	
801.23364	519	
801.38019	520	
801.52667	527	
801.67322	524	
801.8197	521	
801.96619	525	
802.11267	522	
802.25916	528	
802.40558	534	
802.55206	532	
802.69849	533	
802.84497	542	
802.99139	543	
803.13782	547	
803.28424	593	
803.43066	721	
803.57709	605	
803.72345	545	
803.86987	536	
804.01624	534	
804.1626	536	
804.30896	533	
804.45532	536	
804.60168	534	
804.74805	536	
804.89441	538	
805.04071	533	
805.18707	532	
805.33337	530	
805.47968	530	
805.62598	535	
805.77228	538	
805.91858	544	
806.06488	540	
806.21112	534	
806.35742	534	
806.50366	540	
806.6499	543	
806.79614	545	
806.94238	542	
807.08862	538	
807.23486	543	
807.38104	538	
807.52728	540	
807.67346	543	
807.81964	542	
807.96582	543	
808.112	545	
808.25818	546	
808.40436	542	
808.55048	542	
808.69666	546	
808.84277	543	
808.98889	543	
809.13501	549	
809.28113	548	
809.42725	549	
809.57336	550	
809.71948	551	
809.86554	552	
810.0116	552	
810.15771	549	
810.30377	550	
810.44983	550	
810.59589	558	
810.74188	552	
810.88794	559	
811.034	561	
811.17999	571	
811.32599	555	
811.47198	554	
811.61798	552	
811.76398	557	
811.90997	550	
812.05591	553	
812.2019	554	
812.34784	554	
812.49384	553	
812.63977	553	
812.78571	548	
812.93164	558	
813.07751	551	
813.22345	551	
813.36932	546	
813.51526	546	
813.66113	540	
