"Time differences (ps)"	"Counts per bin"
-135000	3
-134700	6
-134400	3
-134100	5
-133800	2
-133500	3
-133200	4
-132900	3
-132600	5
-132300	2
-132000	1
-131700	3
-131400	2
-131100	5
-130800	7
-130500	6
-130200	2
-129900	3
-129600	5
-129300	5
-129000	1
-128700	6
-128400	2
-128100	1
-127800	4
-127500	4
-127200	1
-126900	6
-126600	8
-126300	2
-126000	4
-125700	2
-125400	3
-125100	9
-124800	6
-124500	3
-124200	3
-123900	2
-123600	4
-123300	3
-123000	3
-122700	3
-122400	3
-122100	5
-121800	2
-121500	4
-121200	3
-120900	3
-120600	2
-120300	4
-120000	6
-119700	2
-119400	9
-119100	3
-118800	6
-118500	2
-118200	4
-117900	1
-117600	1
-117300	2
-117000	7
-116700	2
-116400	6
-116100	7
-115800	2
-115500	7
-115200	4
-114900	3
-114600	3
-114300	3
-114000	4
-113700	4
-113400	5
-113100	4
-112800	6
-112500	3
-112200	8
-111900	4
-111600	5
-111300	3
-111000	1
-110700	4
-110400	0
-110100	5
-109800	4
-109500	4
-109200	3
-108900	1
-108600	5
-108300	4
-108000	6
-107700	1
-107400	3
-107100	1
-106800	8
-106500	2
-106200	8
-105900	4
-105600	2
-105300	1
-105000	8
-104700	5
-104400	1
-104100	6
-103800	3
-103500	3
-103200	4
-102900	3
-102600	3
-102300	3
-102000	1
-101700	2
-101400	3
-101100	4
-100800	4
-100500	4
-100200	4
-99900	4
-99600	3
-99300	1
-99000	3
-98700	3
-98400	2
-98100	2
-97800	5
-97500	1
-97200	4
-96900	4
-96600	4
-96300	2
-96000	4
-95700	0
-95400	2
-95100	5
-94800	2
-94500	6
-94200	7
-93900	5
-93600	5
-93300	1
-93000	4
-92700	4
-92400	5
-92100	2
-91800	5
-91500	1
-91200	7
-90900	5
-90600	4
-90300	7
-90000	7
-89700	5
-89400	5
-89100	2
-88800	3
-88500	2
-88200	1
-87900	5
-87600	5
-87300	3
-87000	3
-86700	6
-86400	3
-86100	5
-85800	4
-85500	4
-85200	6
-84900	5
-84600	1
-84300	5
-84000	2
-83700	4
-83400	5
-83100	4
-82800	3
-82500	0
-82200	3
-81900	1
-81600	6
-81300	3
-81000	4
-80700	2
-80400	4
-80100	2
-79800	5
-79500	6
-79200	4
-78900	4
-78600	5
-78300	1
-78000	5
-77700	5
-77400	1
-77100	4
-76800	2
-76500	3
-76200	3
-75900	2
-75600	8
-75300	1
-75000	1
-74700	4
-74400	1
-74100	2
-73800	3
-73500	4
-73200	1
-72900	6
-72600	4
-72300	5
-72000	3
-71700	6
-71400	6
-71100	5
-70800	4
-70500	2
-70200	2
-69900	2
-69600	4
-69300	4
-69000	4
-68700	5
-68400	4
-68100	4
-67800	2
-67500	3
-67200	2
-66900	5
-66600	1
-66300	4
-66000	3
-65700	3
-65400	5
-65100	4
-64800	3
-64500	1
-64200	5
-63900	5
-63600	4
-63300	3
-63000	1
-62700	4
-62400	5
-62100	1
-61800	2
-61500	5
-61200	3
-60900	4
-60600	5
-60300	8
-60000	4
-59700	8
-59400	6
-59100	4
-58800	6
-58500	1
-58200	5
-57900	2
-57600	2
-57300	1
-57000	3
-56700	3
-56400	2
-56100	2
-55800	1
-55500	1
-55200	1
-54900	0
-54600	2
-54300	0
-54000	1
-53700	1
-53400	1
-53100	0
-52800	0
-52500	0
-52200	0
-51900	1
-51600	0
-51300	0
-51000	0
-50700	0
-50400	0
-50100	2
-49800	0
-49500	0
-49200	1
-48900	2
-48600	2
