"Time (ps)"	"Channel 1 - Count rate (counts/s)"	"Channel 2 - Count rate (counts/s)"
0	31550	25200
20000000000	33000	25500
40000000000	34500	24600
60000000000	31800	25700
80000000000	31450	25500
100000000000	32650	23500
120000000000	32650	25200
140000000000	32650	26300
160000000000	32500	24350
180000000000	33000	24450
200000000000	33050	24550
220000000000	34250	26450
240000000000	32200	24900
260000000000	31500	23300
280000000000	31250	23500
300000000000	30650	23850
320000000000	32650	24250
340000000000	33700	25100
360000000000	33500	23400
380000000000	31250	24350
400000000000	33100	26200
420000000000	31400	23350
440000000000	29800	24800
460000000000	33100	23750
480000000000	35100	25950
500000000000	32750	24600
520000000000	36200	24000
540000000000	32350	23100
560000000000	31950	24450
580000000000	33250	23100
600000000000	34850	24500
620000000000	35750	23100
640000000000	32000	26150
660000000000	32600	22850
680000000000	32800	25800
700000000000	35550	25300
720000000000	32450	23800
740000000000	32550	24300
760000000000	34350	25600
780000000000	31000	24250
800000000000	34150	24700
820000000000	33500	24650
840000000000	32800	24700
860000000000	32850	25550
880000000000	32250	24100
900000000000	33000	23000
920000000000	32450	24000
940000000000	31050	23000
960000000000	34050	26300
980000000000	34400	22050
1000000000000	32150	25950
1020000000000	29550	23800
1040000000000	33700	25000
1060000000000	30450	24850
1080000000000	33850	24250
1100000000000	30900	26400
1120000000000	31700	25300
1140000000000	34100	25800
1160000000000	33750	24050
1180000000000	34350	25100
1200000000000	32150	24400
1220000000000	32200	24100
1240000000000	31100	23600
1260000000000	34100	24050
1280000000000	32850	24750
1300000000000	34450	26000
1320000000000	30600	23150
1340000000000	33250	25100
1360000000000	33500	25400
1380000000000	34700	23900
1400000000000	34700	24600
1420000000000	33650	24700
1440000000000	33600	25200
1460000000000	33450	26200
1480000000000	32900	25500
1500000000000	32800	26400
1520000000000	34250	24850
1540000000000	34000	23900
1560000000000	33450	24350
1580000000000	33600	25200
1600000000000	35300	24000
1620000000000	35200	24300
1640000000000	32400	25300
1660000000000	32200	24850
1680000000000	33350	24100
1700000000000	30350	23900
1720000000000	32400	23800
1740000000000	32150	23950
1760000000000	30550	22450
1780000000000	33300	25800
1800000000000	33150	23850
1820000000000	34850	24750
1840000000000	34850	25600
1860000000000	33000	25300
1880000000000	33800	23950
1900000000000	32150	24150
1920000000000	33100	24150
1940000000000	33200	24000
