"Time (ps)"	"Channel 1 - Count rate (counts/s)"	"Channel 2 - Count rate (counts/s)"
0	31400	22800
20000000000	32250	22800
40000000000	32200	22650
60000000000	31450	22300
80000000000	33250	24450
100000000000	31900	24000
120000000000	30150	23650
140000000000	31700	21300
160000000000	33200	23150
180000000000	30400	23450
200000000000	31500	22900
220000000000	31700	22450
240000000000	31550	25500
260000000000	33350	23050
280000000000	31250	25250
300000000000	32850	22700
320000000000	32600	22550
340000000000	32050	22350
360000000000	30900	23050
380000000000	30450	24450
400000000000	28000	23600
420000000000	31000	21450
440000000000	32500	23050
460000000000	30850	22450
480000000000	32200	25700
500000000000	32500	22000
520000000000	32950	23900
540000000000	34100	22250
560000000000	29650	23250
580000000000	33950	24050
600000000000	30150	23150
620000000000	31400	22800
640000000000	30550	23600
660000000000	31100	24850
680000000000	31750	24750
700000000000	32850	22400
720000000000	33750	24950
740000000000	34700	24700
760000000000	30500	23000
780000000000	32200	23350
800000000000	33300	24350
820000000000	29800	22050
840000000000	33050	23250
860000000000	33150	23900
880000000000	32650	22250
900000000000	30500	22950
920000000000	31950	23800
940000000000	31000	24200
960000000000	31650	24500
980000000000	31950	23150
1000000000000	31800	21650
1020000000000	31350	22000
1040000000000	34700	25500
1060000000000	30800	24950
1080000000000	31250	24150
1100000000000	32850	23750
1120000000000	31900	23300
1140000000000	32200	24250
1160000000000	32500	23700
1180000000000	30800	23200
1200000000000	30500	22950
1220000000000	31450	22450
1240000000000	31900	25300
1260000000000	32950	23850
1280000000000	32200	22750
1300000000000	32200	26100
1320000000000	33000	23700
1340000000000	31750	24000
1360000000000	28550	21650
1380000000000	33550	26300
1400000000000	33000	23050
1420000000000	31300	22000
1440000000000	30600	23600
1460000000000	33050	24300
1480000000000	32750	24550
1500000000000	35100	24650
1520000000000	33400	22750
1540000000000	30750	25050
1560000000000	32700	25900
1580000000000	32400	22950
1600000000000	32150	23000
1620000000000	32550	23200
1640000000000	32350	25150
1660000000000	34250	23200
1680000000000	30900	22950
1700000000000	30600	23250
1720000000000	30750	23200
1740000000000	31600	23800
1760000000000	30850	23050
1780000000000	30450	22350
1800000000000	31650	22700
1820000000000	28450	25050
1840000000000	32800	23250
1860000000000	32700	23500
1880000000000	31300	24550
1900000000000	31000	23000
1920000000000	32700	22600
1940000000000	30750	24400
1960000000000	30300	23750
1980000000000	30000	23000
2000000000000	32100	23300
2020000000000	33550	23500
2040000000000	32350	24600
2060000000000	31950	23000
2080000000000	28250	23600
2100000000000	32400	24050
2120000000000	31650	25150
2140000000000	32200	24100
2160000000000	30450	22400
2180000000000	31200	24400
2200000000000	32300	21500
2220000000000	29500	22750
2240000000000	31800	22950
2260000000000	34100	25450
2280000000000	30850	23350
2300000000000	30950	22350
2320000000000	31500	23200
2340000000000	29050	23050
2360000000000	30300	23000
2380000000000	29500	26150
2400000000000	32250	22950
2420000000000	30000	23250
2440000000000	30800	23450
2460000000000	32000	22950
2480000000000	33300	22900
2500000000000	32750	25400
2520000000000	31400	23050
2540000000000	30300	23900
2560000000000	32750	24650
2580000000000	31850	22700
2600000000000	31700	24100
2620000000000	31750	22150
2640000000000	33300	23200
2660000000000	31100	22150
2680000000000	31100	24350
2700000000000	30100	24000
2720000000000	32500	24050
2740000000000	32200	27350
2760000000000	32650	23850
2780000000000	31250	23550
2800000000000	30350	25400
2820000000000	34050	23900
2840000000000	33250	25150
2860000000000	30750	22950
2880000000000	32300	22700
2900000000000	31700	24900
2920000000000	30850	24300
2940000000000	30350	21750
2960000000000	33650	21950
2980000000000	29250	22700
3000000000000	31650	23050
3020000000000	30650	22900
3040000000000	30100	23200
3060000000000	30800	23700
3080000000000	31800	24350
3100000000000	31800	23400
3120000000000	31950	23300
3140000000000	29350	22650
3160000000000	30050	24000
3180000000000	33150	20700
3200000000000	34000	23500
3220000000000	29750	22150
3240000000000	31100	22600
3260000000000	30850	21500
3280000000000	32300	22100
3300000000000	30700	24650
3320000000000	30150	23250
3340000000000	28650	21650
3360000000000	31500	23450
3380000000000	30050	22500
3400000000000	33400	22850
3420000000000	31950	26050
3440000000000	32300	23350
3460000000000	30100	22700
3480000000000	33200	25000
3500000000000	30600	24300
3520000000000	33000	23150
3540000000000	31500	25850
3560000000000	33300	22600
3580000000000	32950	22250
3600000000000	32750	22000
3620000000000	32050	22300
3640000000000	32950	25250
3660000000000	31650	25050
3680000000000	33350	21200
3700000000000	31650	23800
3720000000000	31450	23050
3740000000000	30650	24900
3760000000000	32300	23900
3780000000000	34150	25650
