filenumber,step,mini,maxi,ignored,accepted,A,f₀,γ,bg,intensity
1,0,3.81497335750321e14,3.815166946115554e14,Int64[],true,15550.338564569076,3.815099434142176e14,1.2678172839503364e8,115.82200755205884,0.4282425784438194
1,1,3.814976190054992e14,3.815163395804612e14,Int64[],true,17547.096786792506,3.815102172114337e14,1.3178640899359803e8,106.83944266168174,0.4282425784438194
1,2,3.814973401994291e14,3.815160093909094e14,Int64[],true,14492.044090571255,3.815104249640284e14,1.0666021361585307e8,121.90627918864118,0.4282425784438194
2,0,3.814933915760186e14,3.815117422727879e14,Int64[],true,29243.32202876731,3.815100265072967e14,1.6839135631609732e8,100.6814234374176,0.8564851568876388
3,0,3.815005010216571e14,3.815196884815406e14,Int64[],true,45034.647029430824,3.815110003562317e14,1.254248210473745e8,116.05561534101957,1.7129703137752776
3,1,3.814964393152369e14,3.815157010930094e14,Int64[],true,45942.522712600505,3.8151019927606e14,1.5127120661258134e8,124.2220786729672,1.7129703137752776
3,2,3.814928498629744e14,3.815120523395724e14,Int64[],true,45794.93915018701,3.815101999051933e14,1.5891607054789007e8,112.90264933201411,1.7129703137752776
4,1,3.81505843016141e14,3.815238018944889e14,Int64[],true,73097.23078270852,3.8151015196405944e14,1.7784226287906572e8,131.8541372548857,3.4259406275505553
4,2,3.815009357992788e14,3.81518835038027e14,Int64[],true,70608.87894367009,3.815102351406863e14,1.774980411886264e8,161.98132448505157,3.4259406275505553
5,0,3.814960179842172e14,3.815138218114695e14,Int64[],true,99433.35751466367,3.8151022624558294e14,2.444156118794046e8,99.92833628047492,6.851881255101111
6,0,3.814921155948882e14,3.815224859103439e14,Int64[],true,120267.65531993148,3.815095252805144e14,2.9718352057964295e8,174.59531572480273,13.703762510202221
6,1,3.814880621216318e14,3.815186224698179e14,Int64[],true,114138.0568391813,3.815101936206763e14,2.5651135321750286e8,334.38245311658784,13.703762510202221
6,2,3.814842490301609e14,3.815148315525729e14,Int64[],true,118231.0237864731,3.815101853224276e14,2.773319949355585e8,255.74554166962253,13.703762510202221
7,0,3.815021266931313e14,3.81528935276393e14,Int64[],true,133597.72900511423,3.8151009993979225e14,3.6075172389303213e8,229.28621058821682,27.407525020404442
7,1,3.815009911112622e14,3.815251050096228e14,Int64[],true,134576.03859021267,3.815101308195456e14,3.54748799920067e8,205.57943759957925,27.407525020404442
7,2,3.814962138756446e14,3.815200820444821e14,Int64[],true,133624.070553853,3.8151019462776075e14,3.6607912053830016e8,215.87088433040935,27.407525020404442
8,0,3.814961598974042e14,3.815257292496942e14,Int64[],true,142427.60595757095,3.815102054036065e14,5.2261825779669005e8,200.73396740613953,55.67153519769652
8,1,3.814961718811137e14,3.815256234290665e14,Int64[],true,142337.24923178327,3.8151009377280156e14,4.8939727400582373e8,411.6077237664249,55.67153519769652
8,2,3.81496094243372e14,3.815255096409354e14,Int64[],true,143814.3103839826,3.815101911051825e14,5.039806652420087e8,287.2309990798467,55.67153519769652
9,0,3.814960606800791e14,3.815254331712507e14,Int64[],true,148739.0247394793,3.81510165202888e14,6.900515333566933e8,533.7153675415684,104.91943171873574
9,1,3.814958795103392e14,3.81525268129689e14,Int64[],true,149960.84113650653,3.815101373761727e14,6.710631895694103e8,539.2762810760887,104.91943171873574
9,2,3.814957587603232e14,3.815251406812813e14,Int64[],true,150021.19049478063,3.81510202378202e14,6.957972449969059e8,372.51922495979306,104.91943171873574
10,0,3.814956899704158e14,3.815250309820318e14,Int64[],true,151681.22041134103,3.815101950859014e14,9.513237346145945e8,482.92875381681915,219.26020016323554
