Date and Time:                Wed Apr 9 16:50:27.000 2025
Software Version:             4.32.30000.0
Temperature (C):              -60
Model:                        DU897_EXF
Data Type:                    Counts
Acquisition Mode:             Real Time
Trigger Mode:                 Internal
Exposure Time (secs):         0.4
Readout Mode:                 Image
Horizontal Binning:           1
Vertical Binning:             56
Clockwise rotation:           false
Anti-Clockwise rotation:      false
Extended Data Range:          off
Horizontally flipped:         true
Vertically flipped:           false
Vertical Shift Speed (usecs): 3.3
Pixel Readout Rate (MHz):     17
Baseline offset:              0
Number of prescans:           0
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM Gain level:                10
Serial Number:                8484
Pre-Amplifier Gain:           1.000000
Count Convert Mode:           Counts
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   Recursive Averaging Filter
Averaging Factor:             10
KY328i:
Serial Number:                
Wavelength (nm):              790
Grating Groove Density (l/mm):600.164
Grating Blaze:                750nm
Input Side Slit Width (um):   200



771.20898	511	
771.2829	511	
771.35681	513	
771.43066	506	
771.50458	516	
771.57849	513	
771.6524	513	
771.72626	512	
771.80017	511	
771.87408	509	
771.94794	507	
772.02185	510	
772.0957	506	
772.16962	501	
772.24347	502	
772.31738	498	
772.39124	501	
772.46515	505	
772.539	504	
772.61285	498	
772.68677	496	
772.76062	498	
772.83447	497	
772.90839	498	
772.98224	495	
773.05609	496	
773.12994	489	
773.2038	491	
773.27765	492	
773.35156	495	
773.42542	492	
773.49927	490	
773.57312	490	
773.64697	491	
773.72083	492	
773.79468	486	
773.86847	487	
773.94232	488	
774.01617	490	
774.09003	487	
774.16388	484	
774.23773	485	
774.31152	489	
774.38538	488	
774.45923	490	
774.53302	490	
774.60687	491	
774.68073	490	
774.75452	485	
774.82837	490	
774.90216	490	
774.97601	487	
775.0498	487	
775.12366	493	
775.19745	489	
775.27124	495	
775.34509	489	
775.41888	488	
775.49268	495	
775.56653	493	
775.64032	491	
775.71411	494	
775.7879	492	
775.86169	488	
775.93555	491	
776.00934	491	
776.08313	493	
776.15692	489	
776.23071	489	
776.3045	491	
776.3783	493	
776.45209	493	
776.52588	492	
776.59967	489	
776.6734	492	
776.74719	490	
776.82098	489	
776.89478	492	
