Date and Time:                Wed Apr 9 12:35:46.000 2025
Software Version:             4.32.30000.0
Temperature (C):              -60
Model:                        DU897_EXF
Data Type:                    Counts
Acquisition Mode:             Real Time
Trigger Mode:                 Internal
Exposure Time (secs):         0.01
Readout Mode:                 Image
Horizontal Binning:           2
Vertical Binning:             34
Clockwise rotation:           false
Anti-Clockwise rotation:      false
Extended Data Range:          off
Horizontally flipped:         true
Vertically flipped:           false
Vertical Shift Speed (usecs): 3.3
Pixel Readout Rate (MHz):     17
Baseline offset:              0
Number of prescans:           0
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM Gain level:                0
Serial Number:                8484
Pre-Amplifier Gain:           1.000000
Count Convert Mode:           Counts
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY328i:
Serial Number:                
Wavelength (nm):              795
Grating Groove Density (l/mm):600.164
Grating Blaze:                750nm
Input Side Slit Width (um):   100



776.22314	510	
776.37085	486	
776.51849	523	
776.6662	496	
776.8139	514	
776.96155	486	
777.10919	514	
777.2569	507	
777.40454	527	
777.55219	485	
777.69983	518	
777.84741	518	
777.99506	502	
778.1427	511	
778.29028	498	
778.43787	494	
778.58551	513	
778.73309	528	
778.88068	504	
779.02826	535	
779.17584	535	
779.32336	539	
779.47095	564	
779.61847	591	
779.76605	618	
779.91357	646	
780.0611	694	
780.20862	760	
780.35614	820	
780.50366	895	
780.65118	914	
780.79865	956	
780.94617	998	
781.09363	1037	
781.24109	1049	
781.38861	1042	
781.53607	1069	
781.68353	1078	
781.83093	1058	
781.97839	1079	
782.12585	1090	
782.27325	1050	
782.42072	1054	
782.56812	1050	
782.71552	1068	
782.86292	1077	
783.01031	1077	
783.15771	1052	
783.30511	1060	
783.45245	1046	
783.59985	1040	
783.74719	1049	
783.89459	1018	
784.04193	1019	
784.18927	967	
784.33661	919	
784.48395	711	
784.63123	568	
784.77856	614	
784.92584	824	
785.07318	936	
785.22046	1006	
785.36774	1005	
785.51501	1019	
785.66229	1037	
785.80957	1032	
785.95685	1015	
786.10406	997	
786.25134	1033	
786.39856	1030	
786.54578	1031	
786.69305	985	
786.84027	1012	
786.98749	964	
787.13464	986	
787.28186	976	
787.42908	982	
787.57623	935	
787.72345	927	
787.87061	917	
788.01776	902	
788.16492	886	
788.31207	858	
788.45923	865	
788.60632	808	
788.75348	775	
788.90057	757	
789.04773	722	
789.19482	687	
789.34192	648	
789.48901	632	
789.63611	605	
789.7832	576	
789.93024	577	
790.07733	538	
790.22437	531	
790.37146	525	
790.51849	509	
790.66553	529	
790.81256	545	
790.95959	507	
791.10657	492	
791.2536	547	
791.40063	509	
791.54761	498	
791.69458	510	
791.84155	523	
791.98853	526	
792.1355	498	
792.28247	507	
792.42944	502	
792.57642	492	
792.72333	503	
792.87024	530	
793.01721	503	
793.16412	508	
793.31104	505	
793.45795	504	
793.6048	507	
793.75171	505	
793.89862	501	
794.04547	526	
794.19232	505	
794.33923	508	
794.48608	497	
794.63293	506	
794.77972	530	
794.92657	508	
795.07343	523	
795.22021	511	
795.36707	504	
795.51385	521	
795.66064	486	
795.80743	538	
795.95422	513	
796.10101	519	
796.2478	518	
796.39453	495	
796.54132	517	
796.68805	516	
796.83478	506	
796.98151	528	
797.12823	542	
797.27496	509	
797.42169	522	
797.56836	525	
797.71509	504	
797.86176	526	
798.00842	547	
798.15515	500	
798.30182	503	
798.44849	520	
798.59509	536	
798.74176	503	
798.88843	514	
799.03503	534	
799.18164	518	
799.32831	499	
799.47491	521	
799.62152	515	
799.76807	545	
799.91467	495	
800.06128	516	
800.20782	525	
800.35443	484	
800.50098	520	
800.64752	537	
800.79407	502	
800.94061	504	
801.08716	493	
801.23364	524	
801.38019	540	
801.52667	525	
801.67322	493	
801.8197	521	
801.96619	512	
802.11267	514	
802.25916	534	
802.40558	543	
802.55206	501	
802.69849	523	
802.84497	539	
802.99139	515	
803.13782	514	
803.28424	532	
803.43066	518	
803.57709	543	
803.72345	508	
803.86987	511	
804.01624	532	
804.1626	527	
804.30896	540	
804.45532	533	
804.60168	518	
804.74805	518	
804.89441	528	
805.04071	521	
805.18707	515	
805.33337	527	
805.47968	510	
805.62598	526	
805.77228	520	
805.91858	528	
806.06488	509	
806.21112	504	
806.35742	524	
806.50366	512	
806.6499	548	
806.79614	517	
806.94238	524	
807.08862	520	
807.23486	524	
807.38104	536	
807.52728	509	
807.67346	498	
807.81964	530	
807.96582	503	
808.112	536	
808.25818	519	
808.40436	522	
808.55048	532	
808.69666	519	
808.84277	539	
808.98889	521	
809.13501	516	
809.28113	523	
809.42725	539	
809.57336	518	
809.71948	534	
809.86554	498	
810.0116	540	
810.15771	533	
810.30377	513	
810.44983	534	
810.59589	530	
810.74188	539	
810.88794	509	
811.034	530	
811.17999	533	
811.32599	514	
811.47198	532	
811.61798	529	
811.76398	529	
811.90997	531	
812.05591	524	
812.2019	522	
812.34784	515	
812.49384	536	
812.63977	534	
812.78571	526	
812.93164	505	
813.07751	518	
813.22345	541	
813.36932	518	
813.51526	518	
813.66113	504	
